Show,Review,Source
Chernobyl,"Terrifying and sobering – as exceptional a piece of television narrative as you're ever likely to see

Created, written, and executive produced by Craig Mazin, Chernobyl is directed by Johan Renck as part-horror movie, part-cautionary tale, and part-political treatise. It presents a terrifying, nightmare vision of how bad things can get when hard scientific facts are made subservient to political agendas, and governments strive to undermine not only scientific expertise but the very nature of truth itself (the Soviet Union was a big fan of ""alternative facts"" long before the GOP). Chernobyl begins and ends by asking the viewer to ponder the cost of cumulative nation-wide lies. However, it's just as interested in celebrating the heroes as it is assigning blame.

April 26, 1986, 1:23am; near the city of Pripyat in the north of the Ukrainian SSR, Reactor No. 4 at the Vladimir Ilyich Lenin Nuclear Power Plant explodes, sending out masses of radioactive material. As the Central Committee tries to keep a lid on things, a commission is assembled to investigate the disaster. The commission's head is Boris Shcherbina (a career-best performance from Stellan Skarsgård), Deputy Chairman of the Council of Ministers, and a devout party-man. The commission's scientific expert is Valery Legasov (a mesmerising Jared Harris), deputy director of the Kurchatov Institute, who immediately realises that the accident is much more serious than the government are saying.

Thematically, Chernobyl is not subtle. The opening line is ""What is the cost of lies?"", and this issue is front and centre for the entire five episodes. The show presents the Soviet Union as a place where lying and statecraft were one and the same, and in so doing, it illustrates what can happen when institutions of government put political ideology above objective facts, when egotistical politicians disregard everything that experts are telling them in favour of their own ill-informed theories (sound familiar?). The first episode in particular gives us some fine illustrations of a system obsessed with committees, bureaucracy, and secrecy, all built upon an unnecessarily complicated and rigid hierarchy.

However, if there's an overriding mindset amongst the Soviet people, it's a sense of civic duty, borne of a genuine belief in socialism and total trust in the Central Committee. Not all characters share this trust, but enough of them do to make it a trope. And for the most part, the show presents this sense of duty to the State as deeply honourable, worthy of a great deal of respect. How the State elicits, manipulates and exploits these feelings is being criticised, not the feelings themselves – a vital distinction.

Aesthetically, Chernobyl opens with the explosion, throwing the audience into the chaos and confusion. However, rather than placing us in the control room at the moment of the explosion, we see it through the closed window of a character who doesn't even notice it happening until the shockwave hits a couple of seconds later. It's a wholly unexpected way to begin, presenting a massive real-life disaster not from the perspective of spectacle, but from a subjective human perspective. This immediately sets up the show's interest in people. The helicopter crash seen in the trailer is shot the same way - focusing on human reactions to the crash rather than the crash itself.

As for the cinematography generally, Jakob Ihre shoots everything unfussily, with no real visual gymnastics. However, there are still moments of stark beauty and great artistry. The second episode ends with a dialogueless scene that Michael Mann would be proud of and also features perhaps the single most extraordinary shot in the series – a high elevation shot of Pripyat looking down at the residents being evacuated onto a fleet of buses. In the background, the power plant can be seen still burning, whilst the people and the plant are bifurcated by the flats in which they used to live. This is as good an example of thematic photography as you're likely to find.

As for problems, well, the characters are a little too black and white – the 'good' characters are practically saintly, and the 'bad' characters are almost pure evil. And there's not a lot of ground in between.

At its core, the show is most interested in what happens when governments stop listening to science, when every smart person in the room is telling a leader one thing, and he or she decides to ignore it based on nothing other than ideology or ego (and yes, Trump's attitude to the ever-worsening global climate crisis is very much the target). An exceptional piece of television in pretty much every way, Chernobyl is as terrifying as it is compelling, as heartbreaking as it is eye-opening.

And all of this is not even to mention the dogs. I'm just not ready to talk about the dogs.",Audience
Chernobyl,After 2 episodes I am blown away...,Audience
Chernobyl,"An extremely well-told story of a horrifying, nuclear disaster that the Russian government is still desperately trying to control.  It is also a great tribute to those who bravely volunteered to enter the lethal, reactor facility trying to prevent an even worse nuclear explosion.",Audience
Chernobyl,"In this minute by minute retelling of the worst man made disaster in human history, the details are shocking. Human error was obvious and frustrating, but what proved to be more frustrating was the jarring accents. Every person in the show had an accent straight from the UK. In a show about soviet Russia, one would think there would be more russian people.",Audience
Chernobyl,Absolutely gruesome yet flawless in execution!,Audience
Chernobyl,"HBO knew it had a winner in its hands, but props to the creators for not overdoing it. What a perfectly balanced show",Audience
Chernobyl,"This is, without a doubt, one of the best things I have seen on Tv ever. It's dark, it's gripping and you can't stop watching. And the last episode is a masterpiece.",Audience
Chernobyl,Some of the finest TV ever made.,Audience
Chernobyl,"From the first episode, it comes out loud and offers you with amazing cast in five episodes the full story  of the chernobyl accident ...",Audience
Chernobyl,"Simplesmente incrível, a histórias e os personagens são impressionantes",Audience
Chernobyl,Excellent performances and atmosphere,Audience
Chernobyl,Stunning! Petrifying! Gut-wrenching!,Audience
Chernobyl,One of the best shows I've ever seen. Blows my mind and teaches me things about the event that I never knew. So amazing.,Audience
Chernobyl,It's always compelling and often terrifying.,Critic
Chernobyl,"The gripping five-part miniseries, Chernobyl, manages to viscerally recreate it - the horror, heroism and sheer folly of it all.",Critic
Chernobyl,"At its best, the show emphasizes the layered venality of careerist buck-passing and the hopeful denialism of those who will refuse to think the unthinkable; at its worst, it suggests that these are specifically Soviet characteristics. They are not.",Critic
Chernobyl,"Bathed in bleak, sickly green light, [this] series is an interesting one not just for being a pulse-troubling depiction of the world's worst nuclear accident, but an equally unsettling examination of political buck-passing and Orwellian doublethink.",Critic
Chernobyl,"Books, films, and spiritual practices which can serve as antidotes to our wayward capacities for violence.",Critic
Chernobyl,"As horrible as every minute of the impending terror of this series absolutely is, there's also a sense of deep respect and empathy for those who gave their lives fixing their government's mistakes.",Critic
Chernobyl,"Chernobyl is a thorough historical analysis, a gruesome disaster epic replete with oozing blisters and the ominous rattle of Geiger counters, and a mostly riveting drama.",Critic
Chernobyl,It's the scariest thing I've seen on TV in ages.,Critic
Chernobyl,No piece of dramatised non-fiction has ever felt this authentic.,Critic
Chernobyl,"Chernobyl is a winner in many ways. The acting, the direction and the fact that it brings to light a story that the world should know more about.",Critic
Chernobyl,"The fact that it really happened -- and for all of its devastation, could have been worse -- makes this five-part slog of unrelieved misery even more chilling. It's hard to watch -- but you already knew that.",Critic
Chernobyl,"You should at least know what you're getting into with Chernobyl and if you can face that awful, true story, then by all means take it in. But it won't be for everyone.",Critic
Chernobyl,"Watching this miniseries is a grim affair, and I mean that as a great compliment to creator, writer, and executive producer Craig Mazin and director Johan Renck.",Critic
Chernobyl,The series is brilliantly structured and anchored in outstanding performances. [Full review in Spanish],Critic
Chernobyl,"Beyond retelling history, Chernobyl tells a very human story about mistakes, cutting corners, lies, assigning guilt, sacrifice, and coming together to do what needs to be done.",Critic
Chernobyl,"The Chernobyl disaster is an ideal subject for a series like this. But while [Craig] Mazin makes an occasionally powerful case about the costs of willful ignorance, the show never transcends its horrifying subject.",Critic
Chernobyl,Chernobyl feels especially timely.,Critic
Chernobyl,"[A] mini-series that, for just over a month, made us forget that Game of Thrones ever existed. [Full review in Spanish]",Critic
Chernobyl,Episode 42: Crawl / The Last Black Man in San Francisco / Chernobyl / Midsommar,Critic
Chernobyl,A riveting showcase for sheer storytelling craft ... Chernobyl is great TV - some of this year's best.,Critic
Foundation,Poorly written show with predictable tropes and a boring storyline. Having McDonalds sell a Whopper and rename it the McWhopper would be more original and still palatable.,Audience
Foundation,Raych Seldon who's supposed to have a daughter who founds the second foundation and dies during a revolt defending his university and students on Santanni... Now he just murders Hari. The entire 2 books dedicated to why Hari adopted him and how deeply they care for each other is thrown away and now Hari is basically a child kidnapper and home wrecker.   Nothing is the same.  How do they possibly recover anything from here.,Audience
Foundation,"For anyone who has enjoyed the seminal books, this will be a massive disappointment. But not for the reason most adaptations don't work, but because it shares almost nothing in common with the original stories.

It was always a tough task trying to adapt something spanning millennia, but the attempts at character development are clumsy - bar the Empire clones, that actually do a good job of personifying the decline.

Visually stunning and a couple of good actors, but overall pretty poor.",Audience
Foundation,"Not sure why everyone's hating on this show.  Granted I've never read the source material but I have read a lot of golden age science fiction, and am a big fan of sci-fi.  I think next to the expanse this is the best show of the genre currently on TV and I couldn't be happier to have so much sci-fi content to choose from these days.  It is a beautiful show, very well acted and certainly better then Star Trek discovery.",Audience
Foundation,"its awesome, we need this kind of sci fi show",Audience
Foundation,"Yes a bit slow at the beginning. Wasnt that the same with expanse? This is the complete galaxy as stage. Just like Gaal we come from a backwater planet. Most certainly we are a little bit confused and stunned by the sheer scale.

And yes, directional work and/or cutting are a wee bit off with the timing, sometimes just too much in love with the great visuals, sometimes too slow when too little happens, sometimes too hasty when it should stay with the characters. 
Some might perceive this as difficulty to connect to the show or the characters.
But actually not so much of a problem for me. 

I really love the show for its story which will unfold no less than a plan to save mankind. Not with a lucky shot at the unprotected reactor. More like shortening the middle ages after the decend of the Roman empire. 
The greatest plot of all. And this will take a little time and a few episodes to catch on.",Audience
Foundation,"Massive, impressively beautiful and smart.",Audience
Foundation,completely unwatchable,Audience
Foundation,"Dull, uninspiring. With the exception of the Empire, all other characters were dull, predictable, and irritatingly whiny.",Audience
Foundation,"They've thrown the Foundation books in the bin and taken a dump on them. Very disappointing. This show has nothing to do with the source material except for the character names. They have chosen to directly contradict core concepts from the source material, for example:
'Hari Seldon said the whole galaxy can pivot around a single individual!' - no he didn't, he said the exact opposite. Psychohistory only predicts the movements of societies, not individuals. It isn't magic.
'Violence is the last resort of the incompetent' - nah, screw that. More violence say the showrunners.
Why call your tv show 'Foundation' if you hate the books so much that you ignore them?",Audience
Foundation,I loved it. Not as faithful to the source as I want but good enough.,Audience
Foundation,"I'd like to find the rolled edition of The Foundation series written on perforated pages the screenwriters used.  I wonder if it was 2 or 3 ply?  It's a decent science fiction series but ignores many of the major principles in the books.  Asimov's famous rules of robotics are ignored.  Using your mind to avoid wars is mostly ignored.  It strays too far from Asimov's principles for my taste.  That said, I'll keep watching the series because it is an interesting science series.",Audience
Foundation,"Visually sumptuous with incredible production value, what could have been a masterpiece is woefully let down by abysmal acting and excessive Mary-Sue implementation. Two of the primary characters bring the whole show down. Gaal Dornick (Llobell) is nothing but a perpetually whiny teenager in this adaptation The legendary Salvor Harden is portrayed by Harvey who has exactly 2 facial expressions.  angry girl and annoyed girl - no sign of the wisdom or strength of the book's character. 

Stay away.",Audience
Foundation,"When I started watching Foundation, I really had some hope.  Having read the books recently and seeing the first episode, I thought, ""They're going to change some things, but it looks like they may stick to the story.""  How quickly that changed in episode 2.  It totally deviates from the books and not necessarily in good ways.  

The thing about the Foundation books that I always liked is that, for the most part, people used their wits and intelligence to solve problems.  Only in rare cases did they go to their guns or use brute force to solve a problem.  Sadly, in the episodes, it's the complete opposite.  Almost everything is a violent fight and there's very little thought in how problems are solved.  The only possible exception was Day's answer to the priestess who challenged him about his soul.  That showed hints of Asimov's prowess of handling problems in the books gracefully.  Everything else seems like a slugfest or a GOT-like plot twist thrown in to keep you interested.

I think had they named this series something else, I may have liked it more.  With the name of Foundation though, it just falls flat.  I'll probably watch the next season just to see where it goes (and for the really nice CGI and cinematography), but I'm definitely not chomping at the bit for it, which is a shame because I think they really could have done a lot with the material they had from the books.",Audience
Foundation,"The visuals are great, but the story is boring. Read the books instead.",Audience
Foundation,"I think that it is a very good series. Nevertheless, I only find the story of the ""Empire"" clones as the most interesting. The Terminus story do not seem as it is going to somewhere. Maybe we need to wait a little further in order to find some sort of connection.",Audience
Foundation,"If you like palace intrigue and love scenes you might like this show. If you like Foundation and were hoping to see an adaptation of it don't waste your time.

This show might be less confusing if they removed the Foundation branding and sold it as an original story but it would still be slow, somewhat incoherent and ultimately disappointing.",Audience
Foundation,Too much mathematics and not in a fun way like The Big Bang Theory. Heavy show to watch.,Audience
Foundation,"I have watched 5 episodes and still wonder when they are going to get around to Azimov's story.   Way too much deviation from the original, almost unrecognizable.",Audience
Foundation,"Very aesthetically pleasing. But you have to put it on mute, and pretend that it's not based on Asimov's Foundation. I would be OK with a deviation from the source material, but they handled the source material with little respect. The laundry list of terrible decisions they made is just much too long: their misunderstanding or disregard of what psychohistory is vis a vis the role of the individual, making certain characters nonsensically religious, way too much drama, way too much star-wars-ification of the source material... The foundation team would do well to look at how the new Dune movie was respectful of its source material, and was better for it.",Audience
Foundation,"If the series is passionate about anything, it's the uplifting clarity of science and math... One scene starring Gaal is a literal math montage that's as sensual as anything that happens in bed.",Critic
Foundation,Silence your phones: This show demands your attention... [Full review in Spanish],Critic
Foundation,"The two other most compelling characters are easily those played by Lee Pace and Jared Harris. Whenever these two actors are giving elaborate speeches or chewing the scenery, Foundation soars to its epic science-fiction heights.",Critic
Foundation,"As with some of Apple's other high budget series, the desire to look massive overtakes a lean narrative... This is probably the priciest slow burner show ever made.",Critic
Foundation,Here's hoping Foundation finds its feet and its personality more in upcoming episodes.,Critic
Foundation,Conjures up its own vision for what might happen.,Critic
Foundation,"The galaxy might be incomprehensibly vast, but Foundation still cares about the individuals fighting within it.",Critic
Foundation,Spectacular.,Critic
Foundation,Season one comes off as a 10-episode pilot for later seasons - one just good enough for us to want to stick with the show. But the sluggish storytelling suggests there were good reasons Asimov's books did not make it to screen before.,Critic
Foundation,"More than just being aesthetically pleasing, the visuals contribute to the worldbuilding... Just give me some interesting characters!",Critic
Foundation,"With a sumptuous big-budget production, enigmatic performances & a compelling examination of the human condition, Apple TV+ has another hit on their hands.",Critic
Foundation,"""Foundation"" jumps back and forth in time and from one world to another as it breaks into myriad storylines. It does initially seem a bit too enthralled with bloated world-building but things pick up as they splinter.",Critic
Foundation,"At times it's imperfect, certainly, and not all of the choices work. But overall Foundation is an exciting, imaginative and intelligent space opera with a lot to offer anyone in the mood for some immersive science fiction.",Critic
Foundation,"Packed with massive starships, sprawling vistas, slick technology, and incredibly imaginative costumes, it's a big -- and clearly big-budget -- affair that could easily stand up against any silver-screen sci-fi epic.",Critic
Foundation,"There's a lot to unravel in Foundation, and the first two episodes - while utterly enthralling - may be quite confusing for some.",Critic
Foundation,"Foundation's ten episodes are sumptuous TV and showrunner David S. Goyer has successfully brought an extremely difficult book series to life on the screen, even if it doesn't really feel much like the original source material.",Critic
Foundation,"Spanning a millennium and juggling at least half-a-dozen narratives at any given moment, Foundation is suitably epic to behold, but has the emotional intensity of a lecture on particle physics.",Critic
Foundation,"We shouldn't have to sit through hours of TV that makes our heads spin to get to stuff like this, that entertains and challenges us. But in this case, the patience does pay off.",Critic
Foundation,"As a new sci-fi show, it would be fine. As a big-budget, flagship production for Apple it looks like a fine opportunity wasted.",Critic
Foundation,Foundation has very much started to reward the effort and developed a habit of ending episodes with breathless cliffhangers that practically dare viewers to stop watching.,Critic
Loki,What an absolute stellar series from Marvel Studios! There is a certain charm behind the performances of Tom Hiddleston as Loki. This charm is unrolled in a much larger scale in this series and that's what ultimately pulled me in to stay.,Audience
Loki,"Muito bom! E, pelo visto, será extremamente relevante no futuro do MCU",Audience
Loki,"Good story and great production design.

Unfortunately, the season deflates at the end with the terrible, out of tone, acting of the ""villain"". Additionally, the main character, Loki (Tom), gets sidelined by his variant, rendering him as a useless artifact that only is a pretext for us to get to see the events.",Audience
Loki,The Mcu just keeps getting better and better,Audience
Loki,"Amazing show, love the cinematography, dialogue, and uniqueness of the show. Everything looks and sounds brilliant from the opening credits to the end credits, the music, the easter eggs, absolutely love the show.",Audience
Loki,Its totally a different genre in MCU.And it has brought a new experience to the viewers Congrats to the entire team.,Audience
Loki,"Tom Hiddleston is always entertaining.  However, I felt that the show could have made a bit better use out of Tom.  Power scaling was off when compared to the rest of the MCU which could be a bit jarring at times.",Audience
Loki,I think I prefer the Marvel shows to most of the films.,Audience
Loki,Awesome show! Really sets up the future of the MCU! Really excited to see what's next!,Audience
Loki,Tom Hiddleston really enjoys playing Loki. The soundtrack was amazing and with visually beautiful scenery all 6 episodes together was like beautiful art. One of my favourite tv show.,Audience
Loki,I like it slap it on a t-shirt,Audience
Loki,"Fair idea, great finished product.",Audience
Loki,Best Marvel show yet!,Audience
Loki,The multiverse baby!!!,Audience
Loki,They should have just left Loki dead.  It would have been a better send off then this crap fest,Audience
Loki,I think this is the best tv show out right now. The complexity behind this show's storyline is what brings forth an interesting series.,Audience
Loki,The MCU stays winning with Loki! All W's no L's,Audience
Loki,"I watched Loki the way I hadn't watched the series for a long time - as it came out, I was so curious what would be shown on the small screens about one of the main Marvel characters, and not about the background third-rate ones. And after a promising start to the series, I was still afraid that it would become the same disappointment as WandaVision, and there were prerequisites for this, but, fortunately and surprisingly, everything worked out. This is Marvel's best project since Endgame - unusual, fresh, stylish, fantastic (somewhat reminiscent of Rick and Morty in terms of sci-fi, which is not surprising, because they share a screenwriter) and original.

Based on the confessions of the creators, the inspiration for this series was, in addition to the mentioned Rick and Morty, the films Blade Runner, A Clockwork Orange, The Hitchhiker's Guide to the Galaxy, Metropolis and Watchmen - and it really feels a little - A little of all of the above.

I can note minor shortcomings, perhaps, a little sagging in the middle, a bit of a story (but now nowhere without it) and a too broken end, making you wait for either the second season, the announcement of which is already in the credits of the last episode, or new films in which the pledged intrigue in the last episode. Loki is not a complete story at all, but just another plot to something more, as Marvel likes to do. However, this something more is of genuine interest, so I don't even mind!

That's the kind of Marvel universe I like to see - continuing to grow and surprise. After the Final, I thought that they would not jump any higher, but now there are chances - I foresee a big epic in phase 4 related to the multiverse. I can't wait for the second Strange - there it should pour out in full. Loki is the best Marvel series so far.",Audience
Loki,"Loki is a joke in his own show. Cold blooded murderer who almost conquered the Earth minutes earlier shifts into crying, clumsy husk of a beta male in a matter of one scene. Besides that the show is just boring and Sylvie's motives are one of the dumbest you can really come up with.",Audience
Loki,"Poorly written, inconsistent, and a disservice to the character.",Audience
Loki,"... the stage is set in Loki for an abnormal (in a good way) journey, analyzing the heck out of the Loki character and all his flaws, while adding in new characters that we will either love or hate. Mischief is all but a guarantee.",Critic
Loki,"The great thing about it is that the Marvel comic book universe is endless and unstoppable, and ancient rules seem carved in stone, but things can change on a dime; that's a huge part of the fun.",Critic
Loki,"The first two episodes of Loki are extremely exciting and this has the potential to be the best of the MCU spin-off shows from 2021. Let's hope it continues to be weird, dystopian and gorgeous to look at.",Critic
Loki,"This delightful, thoughtful addition to the MCU brings all the quirky fun and humor of Thor: Ragnarok while deftly exploring some pretty big questions about existence and free will.",Critic
Loki,Loki works because the filmmakers and cast click perfectly and give us a series that tells a story we have never seen before.,Critic
Loki,"Hiddleston is in full show-off mode yet again, effortlessly swinging between grandiose egomaniac and scared little boy with the intelligent comic timing that made us fall in love with him the very first time he donned the horns.",Critic
Loki,"This all might be merely preposterous, but life has been breathed into it by the central double act of Hiddleston and Owen Wilson.",Critic
Loki,"""WandaVision"" and ""The Falcon and the Winter Soldier"" had major success earlier this year, but I could argue ""Loki"" is more interesting. An emotional character study that presents Loki with his biggest obstacle yet: himself.",Critic
Loki,"With LOKI, the MCU seems to be going for THE ODD COUPLE by way of ETERNAL SUNSHINE OF THE SPOTLESS MIND...as much character study as a dissertation on society. It's hardly kids' stuff.",Critic
Loki,"Aside from the acting, this is another Marvel masterclass in design.",Critic
Loki,A handful of good ideas lost amid an uninspired narrative.,Critic
Loki,"With Hiddleston's assured performance at the center, ﻿Loki﻿ gets off to a promising start with a twisty mystery and fascinating world-building.",Critic
Loki,It's that kind of easy banter which makes Loki everything Marvel fans hoped for - and a winning watch.,Critic
